Gene	logpval_gwascatalog	Adipose - Subcutaneous_GTExTPM	Adipose - Visceral (Omentum)_GTExTPM	Adrenal Gland_GTExTPM	Artery - Aorta_GTExTPM	Artery - Coronary_GTExTPM	Artery - Tibial_GTExTPM	Bladder_GTExTPM	Brain - Amygdala_GTExTPM	Brain - Anterior cingulate cortex (BA24)_GTExTPM	Brain - Caudate (basal ganglia)_GTExTPM	Brain - Cerebellar Hemisphere_GTExTPM	Brain - Cerebellum_GTExTPM	Brain - Cortex_GTExTPM	Brain - Frontal Cortex (BA9)_GTExTPM	Brain - Hippocampus_GTExTPM	Brain - Hypothalamus_GTExTPM	Brain - Nucleus accumbens (basal ganglia)_GTExTPM	Brain - Putamen (basal ganglia)_GTExTPM	Brain - Spinal cord (cervical c-1)_GTExTPM	Brain - Substantia nigra_GTExTPM	Breast - Mammary Tissue_GTExTPM	Cells - Cultured fibroblasts_GTExTPM	Cells - EBV-transformed lymphocytes_GTExTPM	Cervix - Ectocervix_GTExTPM	Cervix - Endocervix_GTExTPM	Colon - Sigmoid_GTExTPM	Colon - Transverse_GTExTPM	Esophagus - Gastroesophageal Junction_GTExTPM	Esophagus - Mucosa_GTExTPM	Esophagus - Muscularis_GTExTPM	Fallopian Tube_GTExTPM	Heart - Atrial Appendage_GTExTPM	Heart - Left Ventricle_GTExTPM	Kidney - Cortex_GTExTPM	Kidney - Medulla_GTExTPM	Liver_GTExTPM	Lung_GTExTPM	Minor Salivary Gland_GTExTPM	Muscle - Skeletal_GTExTPM	Nerve - Tibial_GTExTPM	Ovary_GTExTPM	Pituitary_GTExTPM	Prostate_GTExTPM	Skin - Not Sun Exposed (Suprapubic)_GTExTPM	Skin - Sun Exposed (Lower leg)_GTExTPM	Small Intestine - Terminal Ileum_GTExTPM	Spleen_GTExTPM	Stomach_GTExTPM	Testis_GTExTPM	Thyroid_GTExTPM	Uterus_GTExTPM	Vagina_GTExTPM	Whole Blood_GTExTPM	ExomiserScore	humanScore_Exomiser	mouseScore_Exomiser	fishScore_Exomiser	ppiScore_Exomiser	RVIS_Score	humancellsensitivity	humancellspecificity	mousecellsensitivity	mousecellspecificity	ui_panglaoDB	SignalValue_H3k4me1_median	SignalValue_H3k4me3_median	SignalValue_H3k27Ac_median	pLI_ExAC	CNVs_ExAC	Gene_length	GDI_Score	HIPred	IPA_Hyperlipidemia_Annotation	O_GlcNAc_Score	EMS_Max	ExAc_constraint_obs_exp	SignalValue_H3k27me3_median	SignalValue_H3k36me3_median	SignalValue_H3k79me2_median	SignalValue_H3k9ac_median	SignalValue_H3k9me1_median	H4k20me1_count	SignalValue_H4k20me1_median	label
BAHD1	11.22184875	15.6325	15.4211	28.9151	21.0426	17.7094	21.1535	23.841	6.53141	8.33934	9.35407	15.1279	16.9172	13.2261	11.2898	7.18374	7.83912	9.14426	7.48025	7.96715	6.71592	16.4451	14.1807	20.4077	21.9463	24.8804	19.4105	17.5782	22.7989	16.5394	21.7602	27.9743	9.82442	8.20235	12.0582	19.6935	7.69851	24.5986	19.2205	9.10911	20.4936	44.5677	24.7585	19.9677	17.4907	18.3881	18.8724	20.9962	15.44	42.0278	36.0507	29.2116	17.8291	3.1879	0	0	0	0	0	-0.93	NA	NA	NA	NA	NA	6.29499	2.16184	9.35841	0.991930032	1	28521	580.11257	0.571837127	NA	NA	NA	0.928618912	4.72387	4.5294	3.89477	11.526	1.89143	32	2.25322	probable
BATF3	14.04575749	3.51922	5.27387	1.32869	3.66641	5.28603	2.89266	2.07926	1.94825	2.95895	4.36165	0.586496	0.580918	3.18816	3.18225	1.82358	1.3388	5.1916	3.51593	1.78378	1.47183	3.06249	1.09405	14.0968	3.05499	3.0881	1.91695	1.63735	2.20349	1.09962	2.59124	3.27636	0.949749	0.63338	1.7252	2.10783	0.452676	7.05924	1.17688	0.28413	3.74278	0.907274	1.46237	2.18305	1.02705	1.02314	2.89062	10.5572	1.11708	1.02986	2.4492	2.65564	1.93884	0.621282	0	0	0	0	0	0.08	0.0750988	0.00909661	0.904762	0.00715633	0.008	7.56097	5.59658	NA	0.030761382	0	13567	1760.70624	0.5368343	NA	NA	NA	NA	5.62756	NA	NA	10.014	1.67119	87	1.60441	probable
BAZ1B	358.09691	36.9533	30.4522	29.0996	39.426	37.5902	47.2349	43.1303	15.7145	15.5761	18.7152	53.0788	44.9021	19.377	21.5568	15.7088	21.3607	18.4117	17.4456	26.0655	19.7863	32.0733	68.0509	62.6963	49.1778	52.1698	43.1349	28.1706	41.3082	24.384	42.613	45.4042	15.7417	11.4631	10.2439	17.6237	10.5568	35.342	26.5842	21.4082	47.652	51.6486	38.4595	36.0924	22.6994	24.6743	30.2246	33.3537	19.9629	33.52	38.0116	54.5859	36.5497	6.44233	0.849859053	0.849859053	0	0	0	-1.61	NA	NA	NA	NA	NA	12.1873	27.3159	12.5943	0.999999563	7	81880	88.97635	0.858686686	1	3.879522597	NA	0.568302493	1.72183	4.20074	6.75209	23.5794	1.18457	151	2.16848	probable
BBS4	17.69897	15.0182	10.6612	17.3666	18.4767	16.8463	19.7823	19.8953	7.82829	9.16065	8.30309	12.4922	14.1211	11.2204	10.9887	7.46023	11.2878	9.32856	7.0899	9.8197	8.99045	15.1579	17.0321	11.1456	24.1805	27.632	18.8321	10.3107	16.6884	6.96925	15.8035	20.6612	7.11963	5.05701	10.5321	16.7082	6.01897	15.9256	10.9781	10.7131	26.7891	26.6963	34.1357	22.6041	11.7918	12.8335	12.0723	11.2573	11.3629	36.162	28.6072	21.9004	15.9185	2.1825	0	0	0	0	0	0.11	NA	NA	NA	NA	NA	11.7438	4.5742	20.3647	0.000141017	NA	52290	2325.46088	0.415125638	NA	NA	NA	NA	8.53428	2.51428	NA	20.6553	2.13707	53	1.89542	probable
BCAT2	6.397940009	24.795	22.9566	67.0576	29.7119	28.8516	30.3042	50.0321	8.58617	10.0067	9.85777	39.4194	43.9504	13.4179	12.169	8.54511	11.2234	9.62688	8.93628	14.3757	9.30278	25.4592	31.8739	45.5731	41.7791	40.5738	30.2715	30.8306	40.7231	26.6725	39.4868	41.5314	16.1283	22.6464	22.5992	19.8597	10.4759	34.3245	24.0727	21.2797	52.9697	64.7854	33.6006	40.0916	21.2801	21.7527	21.9723	19.4935	46.1104	26.4894	37.8081	39.3629	32.4124	4.14496	0.332045111	0.332045111	0	0	0	0.17	0	0.0144427	0.25	0.0202221	0.021	7.02284	11.9811	7.49403	1.71E-11	12	15967	258.16382	0.208481908	NA	NA	NA	NA	NA	NA	2.36518	13.0372	3.81006	NA	NA	probable
BCO2	31.69897	1.46262	3.79122	21.2878	2.50893	2.18512	1.87828	3.60472	1.70514	2.13519	3.69533	4.64376	4.67023	2.9387	2.96362	2.35945	5.05787	3.86444	2.4144	4.71362	3.67172	1.48788	0.655736	0.395595	4.70572	4.08728	3.90567	1.95901	2.95738	3.39192	2.27672	3.71621	17.7903	17.8944	2.12193	1.356	19.8034	2.48241	1.27237	3.6647	5.4792	2.40993	7.8164	2.97787	1.74535	1.62004	2.42006	1.60815	0.962407	6.37533	5.01963	4.90728	6.1393	0.288875	0	0	0	0	0	1.69	NA	NA	NA	NA	NA	6.75677	22.95665	11.5911	1.83E-13	17	49232	109.59768	0.146139458	NA	NA	NA	NA	6.34094	5.23784	12.5793	14.035	1.17715	NA	NA	probable
BEGAIN	12.30103	0.63962	1.90545	1.56868	0.744216	1.14444	0.311864	2.43638	19.8314	29.2916	12.4951	68.5823	74.1944	31.9123	30.5484	19.5989	12.4931	17.5093	10.897	3.23573	5.23599	2.03903	0.431411	0.205567	3.12045	5.2565	1.27843	1.1366	7.77072	0.804534	5.79698	8.86803	1.54382	0.374252	0.579489	0.525642	0.273677	1.91148	1.6881	0.246799	9.24	7.16136	26.1234	5.50818	1.44969	1.32314	2.54268	5.95698	0.919387	4.4088	1.5369	3.83472	1.55321	0.636974	0	0	0	0	0	-0.6	NA	NA	NA	NA	NA	8.40996	9.16846	NA	0.890710075	3	50264	2832.62632	0.806020379	NA	NA	0.014302	0.208860931	3.10087	NA	NA	15.4827	1.61892	3	2.32448	probable
BGLAP	NA	5.5537	8.1482	7.78421	7.26149	8.09258	7.15676	8.08497	9.58938	8.79047	10.9363	24.9084	23.5971	9.8295	9.81326	7.2019	9.28546	10.938	9.47066	12.5335	9.2066	6.70392	6.06777	3.2864	18.3855	15.7327	18.0087	8.32649	9.74551	5.17147	8.47926	14.2552	6.79924	5.84477	6.7395	6.75899	5.27004	7.42008	5.80409	3.79175	8.45095	18.2134	17.096	21.0644	6.29185	5.26289	6.37972	11.1927	5.87063	6.77337	16.6433	14.6084	10.7641	3.3056	0	0	0	0	0	0.48	0	0	0.945946	0.00641766	0.005	9.48612	8.86081	NA	1.76E-05	2	1359	103.96446	0.212742656	NA	NA	NA	NA	5.14382	3.91191	NA	3.74251	NA	NA	NA	probable
BHLHE40	9.397940009	257.472	254.671	122.072	224.704	172.035	395.897	288.749	35.7356	46.1573	44.0256	22.4482	28.133	70.474	76.9923	33.6921	34.7434	44.2471	36.3328	50.9462	34.1284	329.109	41.2675	166.347	179.507	175.38	105.602	52.6755	71.4234	463.787	77.1628	140.295	119.052	28.7851	112.634	174.458	103.236	218.618	141.954	182.03	289.903	137.878	172.67	154.036	316.415	355.422	63.2685	40.7651	41.8582	29.6134	128.46	100.919	503.65	41.455	0	0	0	0	0	-0.31	NA	NA	NA	NA	NA	13.66935	31.5154	61.5147	0.941607018	3	6207	37.76023	0.824708164	NA	NA	NA	0.306847039	NA	10.450025	25.9992	64.984	NA	NA	NA	probable
BHMT	19.09691001	1.18816	0.451819	0.430192	0.474223	0.355025	0.300901	5.70157	0.229372	0.274879	0.15105	0.0692396	0.112819	0.477629	0.562186	0.251502	0.381148	0.187472	0.147474	0.140353	0.140043	0.668454	0.059522	0.0192761	0.315978	0.441356	1.07204	0.425116	1.93184	0.150478	4.76482	0.613226	0.149934	0.053678	105.675	47.7867	307.294	0.209872	0.119408	0.0531705	2.197	0.305792	0.986619	0.54437	0.184845	0.231009	0.170372	0.0569879	2.38443	0.821909	0.923144	0.345802	0.207309	0.0272307	0	0	0	0	0	-0.05	0	0.00219298	0.666667	0.00346487	0.003	12.0364	10.1596	7.58889	0.000316952	35	20506	1865.32323	0.226362213	NA	NA	NA	NA	8.32656	NA	NA	12.5524	NA	NA	NA	probable
BLOC1S2	8.698970004	19.6059	18.7882	20.4803	17.0145	19.2598	12.5012	15.7714	26.1567	33.07	22.4082	39.1599	31.1165	31.1136	44.6722	24.7629	36.4757	26.1131	20.887	37.4001	32.3092	18.855	32.0067	42.7995	16.755	16.5726	11.4944	11.318	11.9814	35.155	11.152	16.5568	8.57147	6.44275	13.9398	19.6413	10.8474	26.9902	16.6694	22.3587	27.0096	16.7996	30.6832	19.1157	29.6539	27.1916	15.5647	33.581	12.2662	20.851	22.0192	15.2278	27.457	10.0765	0	0	0	0	0	0.15	NA	NA	NA	NA	NA	8.70611	31.3899	18.1485	0.05602493	2	12756	368.19948	0.513523757	NA	NA	NA	NA	5.39623	3.57387	12.6173	26.2701	5.37909	19	4.40994	probable
BNIP2	NA	40.6833	32.197	16.6526	39.6662	37.9662	46.4688	31.1544	6.28822	5.70275	7.62939	17.439	16.0698	6.14738	5.8388	6.37341	8.31371	7.9079	6.62451	12.1734	8.11799	36.2815	34.3914	34.2839	32.9462	36.8666	31.5455	22.2212	32.1627	19.8553	32.1393	34.2063	14.4428	10.7789	9.37498	18.1226	11.8763	38.7032	23.7871	16.0539	35.8209	27.8021	15.2982	26.2787	23.5256	24.7773	26.844	30.0354	15.8273	17.0996	30.2112	38.6379	31.8956	17.8694	0	0	0	0	0	-0.34	NA	NA	NA	NA	NA	10.8285	4.305485	28.2495	1.69E-05	5	30388	3900.56272	0.474728644	NA	0.256505293	NA	NA	3.16969	4.31476	11.9441	40.2311	1.53696	251	2.78461	probable
BPNT1	NA	12.2961	13.9862	22.5882	17.3649	15.6792	16.8866	11.8221	7.05728	7.79877	9.03446	10.8862	9.07194	6.84931	9.44296	6.72415	8.3665	10.523	7.36962	15.2362	7.76953	15.575	22.0476	40.6603	14.7582	13.8196	12.1046	18.7378	10.8549	14.7989	11.1018	14.0045	7.06676	5.76619	11.0443	13.3486	7.90774	14.2195	16.5378	3.97311	14.112	17.6431	16.7673	12.4177	12.7641	12.9331	24.0828	14.2369	10.3689	13.3131	15.644	14.5672	14.5546	3.56126	0	0	0	0	0	0.46	NA	NA	NA	NA	NA	8.59301	54.8188	8.90517	0.000218975	14	32980	64.03435	0.289670914	NA	1.815560516	NA	NA	NA	3.53203	6.13636	12.1587	1.27312	75	1.30583	probable
BRD2	9.522878745	122.176	105.415	92.3797	132.132	123.779	149.223	133.632	42.3878	49.8307	45.4017	167.945	164.257	65.8301	63.6071	47.3061	47.1361	47.0994	37.7612	62.5085	43.4693	118.742	100.876	148.857	158.154	173.423	122.39	93.7085	119.36	102.42	106.628	165.892	44.5167	31.412	66.0311	101.947	49.613	142.203	103.481	52.788	159.032	171.8	152.142	136.101	115.01	121.571	111.025	150.807	89.1872	175.572	197.135	179.48	135.398	67.5286	0	0	0	0	0	-0.02	NA	NA	NA	NA	NA	7.90259	60.2164	48.7724	0.99953088	4	12845	1065.99604	0.422697425	NA	5.440652037	NA	NA	11.9279	10.3705	24.3628	62.1644	1.19609	118	1.31655	probable
BRD7	NA	24.3295	20.9036	18.3494	37.8072	30.2293	40.4683	26.2493	17.4917	14.3726	17.7691	30.713	27.3329	14.7204	16.0456	15.2531	18.636	17.699	15.6525	31.3961	19.8289	23.3816	27.9603	33.5311	31.9406	28.3273	32.0138	21.0023	29.9717	28.3074	29.4721	27.8919	10.1912	8.41523	13.2545	19.8783	6.09906	26.0721	20.3776	16.2894	31.9259	27.453	22.8454	22.5568	28.6931	28.5312	21.5058	23.4291	17.495	41.9301	27.6453	33.2569	28.9793	8.94113	0	0	0	0	0	0.35	NA	NA	NA	NA	NA	6.37873	35.1498	11.7164	0.944865043	50	55447	274.30815	0.674044609	NA	2.758373288	NA	NA	2.43598	6.53741	5.14051	8.88475	1.34165	119	1.7721	probable
BSCL2	NA	33.3998	32.2115	48.6848	37.3475	36.2594	29.5245	35.5666	84.1332	138.797	151.089	235.994	225.548	183.311	227.614	85.3738	196.186	181.65	102.013	44.535	64.9295	38.0477	32.4608	20.8197	54.4283	64.6297	40.2193	32.2336	30.9992	31.4133	30.1379	44.0343	14.111	9.16435	31.2085	44.7818	17.8554	46.5147	53.8172	17.0933	50.2039	54.1467	297.664	50.3371	35.8096	38.018	27.1706	27.2583	34.1453	266.728	60.214	57.8925	42.4306	15.2859	0.608580619	0.608580619	0	0	0	-0.18	NA	NA	NA	NA	NA	7.11635	13.0755	8.5854	0.008525411	16	19570	114.98915	0.327572614	1	NA	NA	NA	6.56707	4.79205	8.83574	15.6709	1.19092	1	2.06051	probable
C12orf4	9.22184875	8.39455	8.03448	5.68721	8.67124	9.5766	9.38178	10.4272	3.85821	5.7501	5.0997	18.1795	15.4154	8.01269	8.88831	4.46919	5.52976	5.57926	4.02856	5.80886	4.69871	7.59908	15.8194	15.9286	10.1839	10.8132	9.95858	7.19345	8.61954	7.83488	9.12183	9.89048	3.9095	3.25308	3.38147	7.1649	2.59294	8.12693	5.9371	5.82318	11.2343	8.6146	8.35664	9.8547	6.00384	6.33088	7.48296	10.5771	5.2352	12.8819	9.16656	10.3696	8.81516	1.45485	0	0	0	0	0	-0.6	NA	NA	NA	NA	NA	3.96816	53.5593	24.1721	9.83E-05	11	50780	NA	0.488307536	NA	NA	NA	NA	2.28238	2.51283	3.50151	37.5947	NA	49	1.19436	probable
C1QTNF5	NA	1.47528	1.48945	0.223525	1.69358	1.46363	1.42207	1.16501	0.27582	0.195116	0.494456	0	0.18905	0.277746	0.222826	0.250487	0.262886	0.227552	0.349799	0.27925	0.564436	1.01541	0	0	1.66681	0.973404	0.626193	0.588687	0.990047	0.20318	0.91958	1.30181	0.476553	0.229604	0.330109	1.10901	0	1.28453	0.283696	0	0.674366	0.397479	0.521786	0.444849	0.321778	0.45497	0.756209	0.465186	0.676634	0	1.13094	1.53757	0.523656	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	9.10409	15.1049	9.42144	0.830646789	NA	7731	17.68431	0.695549965	NA	NA	NA	NA	2.31335	4.96159	5.62586	13.5552	1.34529	8	4.08635	probable
C1orf43	NA	133.148	133.059	123.587	135.549	137.378	141.298	118.647	93.9911	103.658	108.509	154.084	125.401	102.874	126.464	83.3202	94.3304	117.008	93.598	146.998	109.252	124.23	168.117	169.485	116.255	121.348	116.014	95.5513	112.573	100.694	116.145	122.697	93.0114	84.5743	90.1565	105.784	76.3847	141.396	90.1881	189.997	149.156	104.114	105.045	113.692	111.689	114.946	90.2658	90.4298	97.7941	95.2739	118.602	118.164	108.409	54.4379	0	0	0	0	0	0.06	NA	NA	NA	NA	NA	7.33982	40.7784	27.2012	0.173985957	8	13922	NA	0.554419458	NA	NA	NA	NA	NA	4.99454	6.08851	48.0065	3.38732	17	2.34647	probable
C2CD5	NA	22.221	19.2802	15.4375	24.7306	24.9256	25.3276	24.6244	9.94803	15.2649	13.0432	91.6213	79.6775	21.0951	26.3745	11.3862	18.0449	17.3549	10.8706	14.5926	11.8732	21.9011	27.7288	29.8395	34.9925	38.5054	25.9971	24.2102	23.04	15.9446	20.8507	32.7678	8.58851	6.2516	12.2736	15.3846	6.00821	23.0893	21.8102	6.36591	34.2226	36.4675	39.4156	21.9041	16.3757	15.4849	26.2026	27.1801	19.3119	24.3825	35.2226	37.6007	24.8702	4.43768	0	0	0	0	0	NA	NA	NA	NA	NA	NA	3.984395	15.1247	10.5207	8.69E-07	5	95963	63.10137	0.575333595	NA	2.758373288	5.2836	0.234279734	3.61741	2.29128	3.4184	11.3611	NA	NA	NA	probable
C3	135	343.58	878.243	420.012	161.819	447.647	117.258	398.888	18.375	9.4715	19.7709	5.9063	4.41231	8.89766	10.6278	17.3768	27.0644	13.6243	13.78	73.3796	41.6493	356.099	118.39	1.317	58.2415	215.138	192.195	124.014	330.567	67.5701	284.774	628.869	173.92	47.8428	30.7397	6.45371	1605.02	310.894	208.795	23.2629	197.521	223.171	26.6876	49.8136	64.0251	70.6591	258.414	3.99648	62.2758	20.2869	181.663	148.047	113.254	0.931508	0.404634202	0.404634202	0	0	0	-1.69	0	0.0389325	0.125	0.0376196	0.037	7.410665	4.61663	3.78159	0.999590151	21	52858	457.09361	0.639925539	NA	NA	NA	NA	3.34057	3.29547	NA	12.5275	1.66944	NA	NA	probable
C5AR1	6.397940009	19.2442	39.2715	11.2227	40.0659	27.7723	15.3344	9.58827	1.54828	1.04055	1.61165	0.872697	0.841364	1.17977	1.17861	1.89744	3.82888	0.959769	0.810272	9.32228	2.0627	9.68293	3.08411	1.20426	7.00837	12.18	13.0748	8.04979	7.24348	2.03737	6.60512	27.9826	6.92813	2.33644	7.12023	9.4076	8.42083	73.4612	6.05811	0.969157	28.4316	7.8311	87.9572	8.07446	2.87781	2.65548	7.06198	52.9275	5.12399	5.11814	6.42068	10.4252	7.02861	378.578	0	0	0	0	0	-0.6	0.583333	0.0141554	0.543434	0.0302933	0.027	6.22199	6.23979	9.68304	0.000416366	1	32043	26.00885	0.212742656	NA	NA	NA	NA	2.08791	NA	NA	9.00823	NA	NA	NA	probable
C9orf50	NA	0.13781	0.105535	0.14274	0.966497	0.389556	0.231568	0.298642	0.99433	0.931247	0.885724	1.52924	1.52502	1.07158	1.02492	0.7469	1.27929	0.813705	0.722261	0.947787	0.908534	0.209538	0.34263	0	0.42993	0.611887	0.411761	0.180184	0.268265	0.0554605	0.261184	0.360622	0.0824882	0.0253487	0.373508	0.804241	0.0442773	0.173039	0.218308	0	2.87648	0.168671	0.503032	0.460986	0.158938	0.177598	0.111932	0.239614	0.122516	18.4449	0.233322	0.288638	0.20398	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	7.894915	13.57675	11.8837	7.28E-10	4	8551	NA	0.180262446	NA	NA	NA	0.232611362	4.94794	NA	NA	13.3086	1.54597	22	2.12199	probable
CACFD1	5.698970004	7.1963	6.79621	12.4189	19.8418	16.8841	17.1308	18.4536	8.4283	8.33654	8.61915	20.3786	20.8102	8.99588	8.4985	7.99699	8.99331	8.98046	7.64876	14.6295	8.72738	9.75683	3.85103	4.3919	14.009	18.9948	15.7401	22.0624	17.5074	11.4954	16.8598	17.37	7.77941	5.69269	21.4814	28.0579	32.4636	21.3012	20.3871	5.47712	13.5283	18.4244	30.9775	21.845	6.76597	7.6773	18.5056	10.8357	28.1106	46.7061	31.5457	18.5739	11.4999	2.13735	0	0	0	0	0	-0.27	NA	NA	NA	NA	NA	11.6469	12.4919	17.9493	0.005746769	0	10881	58.30376	0.123297259	NA	NA	NA	NA	2.04956	4.94928	8.57712	19.4097	1.53061	28	1.76144	probable
CAND2	23.69897	3.86019	3.2263	4.40874	13.7358	10.0334	17.3626	6.59511	4.01059	6.30715	5.25853	13.8108	14.6146	10.6005	9.88662	3.82133	6.65014	6.78221	3.97957	4.0287	3.5715	3.4516	0.488915	0.211865	8.91832	11.0865	11.1026	4.32364	11.8337	1.29589	9.90351	13.7235	15.3659	15.4378	2.04289	1.92555	0.814595	4.51364	3.09167	88.4161	8.94479	9.92522	14.5427	6.17719	1.5982	2.07563	2.38488	3.48551	2.26921	29.98	6.80067	14.7161	4.60747	0.130237	0	0	0	0	0	1.53	NA	NA	NA	NA	NA	7.79697	15.1028	20.7304	4.53E-09	14	75444	6172.51432	0.423039019	NA	4.032662715	NA	0.364713254	2.96124	2.55335	25.4963	13.9315	1.19174	181	4.63761	probable
CAV1	41.69897	543.346	331.944	6.28175	244.379	309.357	424.771	181.547	4.26531	4.05134	6.41307	2.62932	2.69062	3.89951	4.13846	5.67742	5.8797	4.79953	6.79859	14.8333	8.09506	319.715	889.862	3.89939	245.034	216.579	377.314	119.573	301.339	45.7862	331.011	264.664	126.378	85.6152	4.81265	11.8758	4.90887	367.544	56.4558	34.4387	268.032	110.969	6.35668	74.1103	100.614	119.892	53.3129	101.387	38.9113	21.4049	242.115	312.487	160.565	0.615947	0.597538207	0.597538207	0	0	0	-0.32	0.807692	0.121241	0.690104	0.0677879	0.077	7.96358	31.1749	4.92229	0.018707972	3	36394	11.5877	0.769165754	NA	8.539442	NA	NA	NA	8.10597	11.9821	14.3823	1.52369	112	3.55092	probable
CBL	42.52287875	12.7241	10.7535	4.84354	14.3366	14.1865	23.8361	11.5064	4.81959	5.64849	5.5055	12.6131	11.2932	5.52075	6.62625	4.4521	6.36622	5.80452	4.15401	6.89526	4.94998	10.1953	13.4432	28.6181	11.5062	11.4157	10.7137	7.78271	12.6134	7.44115	12.21	13.0683	3.74567	2.10285	3.2225	4.95653	1.56801	14.6766	5.70938	2.022	13.8754	7.24171	4.73583	6.9298	6.93937	7.35529	9.72718	14.722	5.48309	28.8845	8.57114	15.2897	9.54098	16.1771	0	0	0	0	0	-1.04	NA	NA	NA	NA	NA	5.2824	24.2154	8.77156	0.006787357	3	102107	223.45333	0.673698902	NA	17.88416525	NA	0.478093909	NA	3.15465	5.62586	11.9588	1.34529	213	2.12062	probable
CBX6	19	24.925	24.6736	35.5406	72.9109	61.7285	85.9008	52.3677	70.5759	101.785	43.8445	99.2561	100.069	104.003	104.559	67.9425	39.2379	59.5266	37.8055	30.3916	25.3486	24.7715	42.262	56.0173	30.0254	54.7106	81.925	29.9064	82.2779	13.7752	83.2488	71.8297	16.7248	11.2633	17.7231	28.1858	4.16775	39.0313	17.5096	7.34212	53.3814	56.5173	58.776	45.2402	14.3674	14.6454	29.6083	31.3827	22.4282	10.3334	46.9362	78.2524	23.6125	13.5888	0	0	0	0	0	NA	NA	NA	NA	NA	NA	6.54028	17.6277	12.0048	0.610925096	0	10864	40.22071	0.663794339	NA	NA	NA	0.077743668	10.4236	5.24351	4.71134	9.42284	1.82552	65	2.2918	probable
CCDC18	27.30103	3.06182	2.44413	1.44519	1.39019	1.79835	1.18579	1.99746	0.533422	0.537918	0.883676	1.8362	1.7481	0.670729	0.623914	0.579301	0.826655	1.14142	0.673211	0.971164	0.641479	2.31955	5.49225	17.9754	2.38656	2.09392	1.3407	1.63143	1.41227	1.97765	1.43423	1.99306	1.03291	0.606921	0.615956	1.089	1.31353	2.81171	1.32746	1.66866	2.56901	2.58184	1.91791	1.56458	1.44345	1.36272	2.57785	4.34399	1.01801	14.1688	1.90977	1.86654	2.29711	0.493728	0	0	0	0	0	NA	NA	NA	NA	NA	NA	3.20915	43.757	18.0469	NA	NA	98811	NA	NA	NA	NA	5.2836	NA	NA	2.75831	7.79876	27.5763	1.5598	35	2.36051	probable
CCKAR	6.22184875	0	0	0	0	0.0250505	0	0	0.0753597	0.0379865	0.148019	0	0	0.0560295	0.06378	0	0.508665	0.147077	0.0566583	0	0.091397	0.0595349	0	0	0	0.028044	0.0729281	0.0716766	0.214765	0	0.953081	0	0.0175094	0	0.0537136	0	0	0	0.0630063	0	0	0	0.0819348	0	0	0	0	0	12.8414	0.309527	0	0	0	0	0	0	0	0	0	-0.13	0	0	0	0.00173255	0.001	NA	NA	NA	0.017408483	2	9062	175.0724	0.505793989	NA	NA	NA	NA	2.91241	NA	NA	NA	1.30827	NA	NA	probable
CCL20	11.39794001	0.198275	0.764452	0.156042	0.33401	0.39068	0.188119	1.14683	0.120032	0.0612793	0.0790209	0	0	0.055461	0.0552388	0.127861	0.221614	0.0655	0.0557956	0.822542	0.229947	0.251205	2.98772	1.13767	0.118672	0.269272	0.221091	3.44174	0	2.54812	0	0.866592	0.0833098	0	2.69919	0.706804	0.840157	7.79514	1.64036	0	0.285199	0.134903	0.0997921	0.683546	1.78198	1.07721	7.38632	0.291335	0.537533	3.11906	0.286621	0.0892674	1.09482	0.267219	0	0	0	0	0	0.3	0.147059	0.0260025	0	0.000910806	0.005	10.0033	21.7908	41.3963	0.087740002	4	3714	6.54338	0.412388772	NA	NA	NA	NA	NA	NA	8.62681	24.0819	NA	NA	NA	probable
CCL23	72.52287875	6.14181	5.78259	4.98549	1.92547	4.50525	1.61804	5.37752	0	0	0	0	0	0	0	0	0	0	0	0	0	5.43679	0	0.0843648	15.2534	17.4602	1.92186	2.92979	4.84438	3.50778	3.48471	15.5149	0.275748	0.0888322	3.60736	0.906611	2.4226	21.4548	2.42645	0.151	3.36058	1.50437	0.205869	7.86542	2.90804	2.42021	7.38847	14.4132	2.17179	1.59252	2.61352	13.2984	9.30921	0.538253	0	0	0	0	0	0.28	0.00961538	0.000647668	0	0	0	3.54398	NA	NA	0.042812014	5	4909	5.68144	0.111908376	NA	NA	NA	NA	2.24344	NA	NA	NA	NA	NA	NA	probable
CD160	9.397940009	0.350707	0.320214	0.190577	1.12455	0.717812	0.680268	0.594362	0.0800099	0.0835947	0.117429	0.681407	0.858303	0.115313	0.0999468	0.0769426	0.0788129	0.117288	0.0911005	0.129764	0.0879897	0.34326	0.798221	0.303597	0.653246	0.618042	0.400746	0.523499	0.706569	0.231787	0.720424	0.608446	0.138012	0.0961266	0.145314	0.126188	0.439879	0.883298	0.360748	0.0743998	0.477042	0.37481	0.412781	0.396693	0.275058	0.293188	1.31538	4.47194	0.382811	0.406262	0.486136	0.835485	0.474294	1.14259	0	0	0	0	0	-0.07	0	0	0.046729	0.00240713	0.002	6.42555	8.72307	7.24508	1.91E-05	NA	19816	20.99906	0.123297259	NA	NA	NA	NA	2.39602	2.54992	NA	10.0424	1.68086	13	1.62367	probable
