Gene	REVEL.max	MetaSVM_rankscore.max	MetaLR_rankscore.max	MCAP.max	wgEncodeBroadHmmHuvecHMM.count	betamax	logpval_gwascatalog	Adipose_Subcutaneous_GTExFC	Adipose_Visceral_Omentum_GTExFC	Adrenal_Gland_GTExFC	Artery_Aorta_GTExFC	Artery_Coronary_GTExFC	Artery_Tibial_GTExFC	Brain_Amygdala_GTExFC	Brain_Anterior_cingulate_cortex_BA24_GTExFC	Brain_Caudate_basal_ganglia_GTExFC	Brain_Cerebellar_Hemisphere_GTExFC	Brain_Cerebellum_GTExFC	Brain_Cortex_GTExFC	Brain_Frontal_Cortex_BA9_GTExFC	Brain_Hippocampus_GTExFC	Brain_Hypothalamus_GTExFC	Brain_Nucleus_accumbens_basal_ganglia_GTExFC	Brain_Putamen_basal_ganglia_GTExFC	`Brain_Spinal_cord_cervical_c-1`_GTExFC	Brain_Substantia_nigra_GTExFC	Breast_Mammary_Tissue_GTExFC	Cells_Cultured_fibroblasts_GTExFC	`Cells_EBV-transformed_lymphocytes`_GTExFC	Colon_Sigmoid_GTExFC	Colon_Transverse_GTExFC	Esophagus_Gastroesophageal_Junction_GTExFC	Esophagus_Mucosa_GTExFC	Esophagus_Muscularis_GTExFC	Heart_Atrial_Appendage_GTExFC	Heart_Left_Ventricle_GTExFC	Kidney_Cortex_GTExFC	Liver_GTExFC	Lung_GTExFC	Minor_Salivary_Gland_GTExFC	Muscle_Skeletal_GTExFC	Nerve_Tibial_GTExFC	Ovary_GTExFC	Pancreas_GTExFC	Pituitary_GTExFC	Prostate_GTExFC	Skin_Not_Sun_Exposed_Suprapubic_GTExFC	Skin_Sun_Exposed_Lower_leg_GTExFC	Small_Intestine_Terminal_Ileum_GTExFC	Spleen_GTExFC	Stomach_GTExFC	Testis_GTExFC	Thyroid_GTExFC	Uterus_GTExFC	Vagina_GTExFC	Whole_Blood_GTExFC	DeepSEA_Functional_Significance	ExomiserScore	humanscore_Exomiser	mousescore_Exomiser	fishscore_Exomiser	ppiscore_Exomiser	BPmed	SideeffectFreq	Sideeffectseverity	Others	Mechanism	RVIS_Score	Rank	humancellsensitivity	humancellspecificity	mousecellsensitivity	mousecellspecificity	ui_panglaoDB	SDI	SignalValue_H3k4me1_median	SignalValue_H3k4me3_median	SignalValue_H3k27Ac_median	pLI_ExAC	CNVs_ExAC	Gene_length	MGI_Gene	Ratmodel_Gene	GDI_Score	GTEx_signif_sexbias	HIPred	IPA_BP	IPA_Activity	O_GlcNAc_Score	EMS_Max	PharmGKB_Score	ExAc_constraint_obs_exp	SIFT	PolyPhen	LoFtool	CADD_raw	DANN_score	Eigen-raw_coding	GERP++_NR	GERP++_RS	GenoCanyon_score	M-CAP_score	MetaLR_score	MetaSVM_score	MutationAssessor_score	DEOGEN2_score	PROVEAN_score	MutPred_score	REVEL_score	FATHMM_score	fathmm-MKL_coding_score	integrated_fitCons_score	GERP_Rankscore	PMIDB_Metabolite_interactor	interaction	SignalValue_H3k27me3_median	SignalValue_H3k9ac_median	SignalValue_H3k9me1_median	H4k20me1_count	SignalValue_H4k20me1_median	BPlabel
CHKA	NA	NA	NA	NA	280	0.5709	NA	-0.143369	-0.520337	0.203041	-0.256879	0.253042	-0.105672	-1.069168	-0.431777	-0.193879	-0.284553	-1.293838	-0.139424	0.168206	0.482108	-0.154322	0.522535	1.033322	-4.273598	-1.919549	0.545232	-0.147335	-0.679253	0.431449	0.129746	-0.849668	0.219736	-0.107701	-0.13676	0.438639	-1.102271	-0.533649	0.178393	1.21635	0.080895	-0.125702	-0.684876	-0.135611	-0.212567	0.44763	-0.087012	-0.26825	0.411125	-1.180548	0.165678	-0.126712	-0.391033	-1.465761	-0.270817	-0.164592	0.040641	0.501429021	0	0	0	0.501429021	2	5	3	NA	NA	-0.43	NA	0	0.0225564	0.666667	0.0191888	0.019	0	9.313	3.00223	12.9019	0.787088146901824	1	68585	NA	NA	36.30666	1	0.72829324	0	0	NA	NA	NA	NA	NA	NA	0.603	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	NA	NA	3.36602	1.80484	67	1.78416	probable
CHRM2	NA	NA	NA	NA	494	0.4323	12	NA	NA	NA	NA	-6.643856	NA	0.820804	-1.214994	-2.519718	2.465627	-0.877729	0.853902	2.032652	-6.643856	0.539474	-6.643856	-0.614181	-6.643856	-4.369303	NA	4.527385	NA	-0.262816	-4.427492	-0.459121	-6.643856	0.669995	0.206342	0.615944	NA	0.639082	2.040713	NA	NA	NA	2.172883	NA	NA	2.125907	NA	NA	-6.643856	NA	-0.587965	0.534988	NA	-1.685677	-6.643856	NA	NA	0.528331768	0	0.528331768	0	0.501550538	NA	NA	NA	NA	NA	0.19	NA	NA	NA	NA	NA	NA	11.91440126	7.83634	7.334	12.2746	0.00587059361264825	3	151586	NA	NA	63.5868	1	0.564055979	1	0	NA	NA	2.5	NA	0.5	0.135	0.536	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.96864	4.89651	1.1908	NA	NA	possible
CKB	NA	NA	NA	NA	86	0.2926	16	0.354375	0.509311	-0.528054	0.514009	1.536892	-0.209951	-0.28568	0.111331	0.096624	0.126413	0.055744	0.219899	0.096277	1.007919	0.115939	0.503094	0.087885	-0.142102	-0.224814	-0.901291	0.379387	-0.692592	0.569378	0.251278	0.346764	-0.210087	-0.164261	-0.60485	0.218231	0.233342	-0.860673	0.207325	0.641845	-0.34176	-0.215609	0.45211	0.670582	0.471294	0.515523	0.714536	0.620869	1.374962	0.525162	0.18549	0.0943	0.194861	1.585407	-0.962439	-0.299392	0.096574	0.51534559	0	0	0	0.51534559	NA	NA	NA	NA	NA	-0.41	NA	0	0.232143	0.05	0.524638	0.469	6.95230661	10.831	4.18147	NA	0.85084546139957	1	3452	NA	NA	25.11031	NA	0.875350475	1	2	NA	NA	NA	NA	0.05	0.994	0.457	3.987026	0.998509261738732	0.589403417121527	4.63	4.63	0.999999999948586	0.052225	0.6347	0.5835	3.865	0.469671	-4.79	0.773	0.519	2.24	0.97586	0.722319	NA	TRUE	NA	12.0566	13.7106	NA	17	2.66939	possible
CLCN6	NA	NA	NA	NA	18	0.3012	88.0969100130081	0.194534	0.193053	-0.203642	0.270457	0.148308	0.180437	0.32067	0.107227	0.217495	0.164764	-0.221944	0.095092	0.497229	-0.30613	0.276293	0.186687	0.146639	0.261903	-0.136826	0.1786	0.115752	-0.591752	0.125877	0.155842	-0.133803	0.182445	0.164882	0.110494	0.173609	-0.210355	0.24472	0.18643	0.175655	0.263592	0.183839	-0.796888	-0.168676	-0.103133	-0.194903	0.151128	0.172554	0.244886	0.180402	0.123703	-0.277437	0.102356	0.664528	0.489134	0.509448	0.0085978	0	0	0	0	0	3	NA	NA	NA	NA	-1.57	NA	NA	NA	NA	NA	NA	2.93429059	9.22485	25.6198	14.6606	0.163974191293187	3	36994	NA	NA	371.5394	1	0.575333595	1	1	NA	NA	NA	NA	0.34	1	0.0974	3.963732	0.996814519545747	0.759184863514791	5.78	5.78	0.999999999999319	0.376308	0.8933	0.9871	2.19	0.883898	-1.04	0.824	0.849	-2.3	0.99437	0.77792	NA	NA	NA	NA	5.98726	1.74142	175	1.87881	most likely
CLCNKA	0.243	0.63	0.613	NA	1	NA	24.2218487496164	1.201707	1.060695	3.121395	-0.75165	-0.714916	2.149911	-1.362104	-1.350952	-1.015007	-2.828286	-2.21767	-1.257155	-1.073713	-1.058188	-1.117992	-1.396128	-1.326753	-1.969337	-1.434408	1.229697	1.075311	0.960461	2.039688	1.975835	1.924339	-0.667064	2.051327	-0.651766	-1.137623	-2.060748	4.434221	-6.643856	-0.77728	-1.512592	-1.043129	-0.824071	0.657219	-0.929617	0.851226	-1.651891	-1.068792	-6.643856	0.909631	-0.596719	-0.296521	-0.826425	2.001856	-0.967164	NA	0.0094591	0.853179975	0	0.853179975	0	0.542729106	1	NA	NA	NA	NA	1.54	NA	0	0	0	0.000449669	0	2.89489364	NA	NA	NA	2.74927659103062e-14	NA	15175	NA	NA	1257.07472	1	0.139342904	1	1	NA	NA	NA	0.817336087	1	0.986	0.067	4.20066	0.997938005690026	0.423938993049367	3.2	1.81	0.994023491162876	0.460561	0.8983	0.8502	3.81	0.780396	-0.25	0.884	0.835	-3.05	0.80898	0.653281	NA	NA	NA	1.77804	NA	1.31305	NA	NA	probable
CLOCK	NA	NA	NA	NA	61	-0.5387	25.397940008672	0.097483	0.088934	-0.116091	0.142925	0.13845	0.0887	0.166901	0.175602	-0.169004	-0.172176	-0.239184	-0.094362	0.07575	-0.118717	-0.276434	0.166779	0.288781	-0.140097	0.256024	0.117682	-0.106479	-0.150635	0.055289	0.134763	0.109386	0.170619	0.206679	-0.113721	-0.059607	-0.285473	-0.24582	0.157092	0.149564	-0.119435	0.141239	0.155595	0.14992	0.483828	0.343965	0.174445	0.155995	0.291511	0.231111	0.112996	0.096578	0.340605	-0.197731	1.4854	0.156764	NA	0.506242803	0	0.504094097	0	0.506242803	NA	NA	NA	NA	NA	-0.53	182	0	0.0350877	0.111111	0.0136749	0.017	6.46145605	7.826	31.7052	5.3716	0.998479650515238	19	119235	NA	NA	702.63417	NA	0.757599056	0	0	12.9956764944878	NA	-1.5	NA	NA	NA	0.496	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.8648	NA	NA	2.86948	23.0773	1.63395	526	2.02493	probable
CNFN	NA	NA	NA	NA	8	0.1981	NA	0.320129	1.1002	-0.518748	1.23836	2.239681	1.113864	-1.422001	1.148323	-0.227783	0.543089	-0.796321	0.589845	0.999572	0.870019	-6.643856	-0.206759	1.029876	0.585191	-6.643856	1.473649	0.867962	-3.234479	0.496775	-0.318889	-2.571835	-0.642928	-0.694421	0.496867	-1.02655	-3.527429	-0.74845	-0.771631	-1.476772	-0.706288	0.223636	2.180436	1.370761	1.219704	0.378668	-0.18895	0.476765	2.966849	-0.916328	1.169357	-0.297516	-0.376798	0.682362	3.02742	-0.956958	NA	0.500008572	0	0	0	0.500008572	NA	NA	NA	NA	NA	-0.08	NA	NA	NA	NA	NA	NA	1.96195718	4.14163	2.31418	NA	0.347229317263347	2	3268	NA	NA	13.65731	NA	0.28995356	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.79508	NA	1.63065	NA	NA	least likely
CNTF	NA	NA	NA	NA	66	-0.2298	8	0.823213	0.643704	0.407614	0.71265	1.700856	1.158675	0.926476	0.334788	-1.005708	0.36504	0.456984	0.361334	-0.476032	-1.482964	0.791484	1.255387	0.65884	-0.339093	-2.198544	0.750392	0.46691	-0.915468	0.580127	0.48756	0.736433	0.826273	0.678979	-0.785791	0.504519	2.196311	0.561043	0.712241	0.717202	0.745906	0.547243	0.833271	0.71691	0.678289	0.816854	1.078483	0.451949	1.485537	0.8655	0.669974	0.59969	0.517395	0.852684	-6.643856	0.454975	0.3069	0.502558667	0	0	0	0.502558667	2	1	1	NA	NA	0.42	NA	0	0	0	0	0	3.94830677	9.8233	NA	5.06235	0.000349252208597215	0	3052	NA	NA	215.89598	NA	0.262694746	0	0	NA	NA	NA	NA	0.44	0.999	0.791	3.369555	0.998227366522192	0.338135828280138	5.6	2.67	0.999913632530207	0.033015	0.2913	-0.8319	2.52	0.409146	-1.56	0.771	0.296	1.31	0.63039	0.562547	NA	NA	NA	2.93065	NA	1.90452	12	2.2992	probable
COBLL1	0.213	0.264	0	NA	251	0.3962	87.698970004336	-0.195039	0.124284	-0.540651	0.103752	0.547457	0.109326	0.376815	0.395553	0.244766	-0.40272	0.367891	0.318325	-3.298035	0.223476	0.252003	0.2769	0.185695	-1.216862	0.37924	0.18352	-0.114404	NA	-0.2235	-0.114095	0.129929	-0.102782	-0.060014	0.325374	0.312576	-3.341778	0.199428	-0.464258	-0.648385	0.152478	-0.118386	-0.371515	0.162066	-0.677871	-0.777238	-0.683513	-0.293471	1.296812	-1.08304	0.088445	-0.160421	0.331742	0.887252	0.679459	0.20491	0.0015812	0	0	0	0	0	NA	NA	NA	NA	NA	0.41	NA	1	0.0169279	0.166667	0.0117647	0.013	0	7.12955	8.292165	11.3793	0.0121973641922403	1	190055	NA	NA	2197.61027	1	0.233205885	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.95557	NA	NA	NA	3.56793	1.26398	118	1.54726	possible
COL8A1	NA	NA	NA	NA	10	-0.3655	17.0457574905607	-0.474557	0.295807	-0.505687	0.469006	0.625779	0.085679	0.658973	-0.842868	1.738303	-2.090515	-6.643856	-6.643856	-1.137722	1.441152	-6.643856	-6.643856	-5.426312	-2.227206	-6.643856	-0.521846	-1.11503	0.933153	0.287705	0.541637	0.222308	0.088207	-0.264466	0.335565	-0.454739	1.038523	1.523056	-0.95822	0.417026	-0.630151	0.242116	1.020086	0.553772	-2.399747	-1.177443	0.391674	-0.223468	0.213433	1.665319	2.185429	-0.193429	-0.236935	-6.643856	2.418663	-0.66291	0.018127	0.504797235	0	0	0	0.504797235	NA	NA	NA	NA	NA	-1.46	NA	0.036036	0.00486855	0.180995	0.00779238	0.011	4.89372234	5.93072	6.48477	8.79004	0.0381673646294114	2	160751	NA	NA	50.21273	NA	0.418466419	1	1	NA	NA	NA	NA	0.49	0.4	0.0623	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	15.5406	1.43994	504	2.1019	possible
CPS1	0.249	0.477	0	NA	72	0.8927	1631.52287874528	0.649182	0.31839	0.93409	0.299624	0.341726	0.395799	0.884241	-0.428985	0.495184	-0.536046	0.469869	0.331335	0.297866	0.318804	0.907868	-0.482132	0.533852	3.4284	0.902013	0.474404	0.510202	-1.363488	0.368142	0.327414	0.361875	0.620265	0.339407	0.267425	0.438911	-0.501162	-0.325343	0.293962	0.551346	0.557778	0.252735	-2.554696	0.369038	0.458873	-2.144978	0.254231	0.393318	-0.483245	-0.292218	0.35453	-0.087549	0.217459	1.057147	-0.895546	-0.940817	0.057305	0.515916137	0	0	0	0.515916137	NA	NA	NA	NA	NA	-0.63	NA	0.297297	0.0047081	0.57947	0.0136378	0.013	5.64448814	4.18145	10.923	13.0986	0.0833573677195577	16	201425	NA	NA	6992.13025	1	0.698162794	1	0	NA	NA	NA	NA	0.04	0.936	0.0148	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.84997	TRUE	NA	2.07853	35.4009	NA	214	1.15208	possible
CREB5	NA	NA	NA	NA	275	0.515	265.52287874528	-0.215735	0.41409	0.598612	-0.259218	1.043838	-0.639441	-0.206758	0.214107	-0.27401	0.273719	0.230369	-0.18414	0.19724	0.207675	0.98775	0.263691	0.534347	1.704816	-0.23537	-1.372894	1.305621	-2.586589	-6.16792	0.31789	0.877073	0.537951	-0.366073	0.93693	0.196585	-0.830079	1.603553	0.842881	-0.552618	-0.683773	-0.190293	-2.553513	0.454077	-3.435095	-2.272435	-0.16583	-0.553907	0.377115	-0.278054	-0.735844	0.696484	-0.849808	-1.838531	-2.941882	-0.374227	0.0037093	0	0	0	0	0	NA	NA	NA	NA	NA	-0.67	NA	0.0714286	0.0150956	0.264075	0.0292458	0.026	1.99049944	7.79306	13.329	11.8508	0.989844564730837	1	526571	NA	NA	30.64753	1	0.746013939	1	0	NA	NA	NA	NA	0.3	0.698	0.217	3.108495	0.99266676240788	0.596997196415341	5.81	5.81	1	0.040206	0.2928	-0.512	2.485	0.424456	0.24	0.22	0.225	1.43	0.9976	0.615465	0.92413	NA	NA	2.63445	6.09267	1.26772	509	1.96091	possible
CTA-299D3.8	NA	NA	NA	NA	84	-0.175	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.515884	0.549731	NA	NA	NA	-6.643856	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.38111	1.100968	NA	NA	NA	NA	NA	NA	NA	NA	0.676946	NA	2.025313	NA	NA	0.036156	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8487	NA	NA	1311.19681	NA	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	least likely
CTB-134H23.2	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	14124	NA	NA	840.47456	NA	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.00887	NA	NA	NA	NA	least likely
CTB-167G5.5	NA	NA	NA	NA	62	-0.1597	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3869	NA	NA	179.81605	NA	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	least likely
CTF1	NA	NA	NA	NA	1	NA	10.5228787452803	-0.539188	-0.432263	-1.789224	0.358303	0.462219	0.077585	-0.961431	0.528463	0.487262	0.358921	-0.615888	0.233962	-2.985417	-0.688346	0.710261	-0.548357	-0.360514	0.345526	0.278459	-0.471305	-0.193866	1.933051	-0.704756	-1.77715	-0.487959	0.238034	-0.067116	-0.344114	0.068903	-0.520758	0.548297	-0.196161	0.304444	-0.566288	0.264201	0.716758	0.177475	0.786301	-1.591081	0.722664	0.161375	-1.303305	-0.27339	-0.437119	-0.111426	0.331385	-1.212222	-1.224662	-0.830999	0.31045	0.502509407	0	0	0	0.502509407	NA	NA	NA	NA	NA	NA	174	NA	NA	NA	NA	NA	1.70705006	10.53455	12.4815	17.016	0.138254693826932	NA	6953	NA	NA	5.42256	1	0.396258533	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	14.7869	6.12954	NA	NA	probable
CTNNB1	NA	NA	NA	NA	65	-0.5576	26.5228787452803	0.061984	-0.17636	-0.223803	0.066912	-0.277855	-0.078094	-0.194382	0.114459	0.142686	-0.477658	-0.277899	0.065452	0.148224	0.162139	0.167468	0.09304	0.16307	0.207141	0.451874	-0.318022	-0.089712	0.083476	0.121006	0.080909	0.067317	-0.09623	0.071494	0.103034	0.058736	-0.177183	-0.759584	-0.115805	-0.216468	0.07295	0.100863	0.526144	0.153087	0.17372	0.359185	-0.059406	0.059978	0.366693	0.238179	0.15888	-0.035311	-0.106299	0.672997	0.171432	0.144971	0.0010286	0.389625962	0	0.389625962	0	0	2	5	3	NA	NA	-0.58	NA	0.433333	0.213312	1	0.0114802	0.052	37.57141285	3.18948	43.3932	6.9381	0.999812749503708	3	65259	NA	NA	10.25364	1	0.782960892	0	0	NA	NA	4	0.370794705	0.99	0	0.208	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	NA	2.56937	33.7033	1.40764	94	1.84859	probable
CYP11B1	NA	NA	NA	NA	55	-0.5502	NA	2.540913	1.110649	-0.396756	-2.962818	-1.539999	3.70651	-1.397316	-6.643856	-2.39529	-6.643856	3.337152	-6.643856	2.247876	-3.708659	-6.643856	-1.821252	-1.395521	1.651026	3.974244	4.054573	2.566918	3.044156	-6.643856	-2.517421	1.494785	2.081427	3.056516	2.706704	-1.514063	4.078174	-3.930338	0.9914	2.902145	-1.142746	-1.619486	-6.643856	2.575001	-2.301667	4.073819	2.242977	-6.643856	1.721874	2.84375	4.097321	0.253541	-2.402627	3.300283	2.846795	1.531389	0.14038	0.957427108	0.957427108	0.930627006	0	0.511189987	NA	NA	NA	NA	NA	-1.19	245	NA	NA	NA	NA	NA	1.6697435	NA	NA	NA	0.00143393188162045	18	7490	NA	NA	350.77826	NA	0.132359073	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	probable
CYP11B2	NA	NA	NA	NA	17	-0.3979	10.698970004336	NA	NA	1.088412	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.592445	NA	NA	NA	NA	0.12941	0.957427108	0.957427108	0.826392613	0	0.512275429	3	NA	NA	NA	NA	0.56	3	0	0	0	0	0	1.6697435	NA	NA	NA	3.92718052728051e-13	34	7284	NA	NA	295.69785	NA	0.111908376	0	0	NA	NA	1.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	most likely
CYP17A1	NA	NA	NA	NA	606	0.4083	40.5228787452803	0.378522	-0.427806	-0.832399	-0.422385	-0.591849	0.278524	-1.158376	1.497806	0.363287	0.531662	-0.664823	-0.539329	0.60359	0.795142	-0.65978	0.410855	-6.643856	-0.427672	-1.041522	0.954902	2.357411	2.709578	1.297834	1.463754	1.138721	-1.681743	-1.901866	2.19461	-0.647928	-0.630365	1.422911	1.059282	2.356081	0.357358	-0.303501	2.686582	2.372472	-5.16217	2.631677	-0.333732	-0.859211	1.165507	-6.643856	0.380054	1.386835	-0.270895	2.729239	3.388272	0.647326	0.19704	0.957427108	0.957427108	0	0	0.511992836	NA	NA	NA	NA	NA	-0.69	197	1	0.00125392	0.636364	0.000642096	0.001	3.92083295	8.46485	NA	NA	0.0350306078051602	2	7002	NA	NA	8.73654	NA	0.309100866	0	0	NA	NA	NA	NA	NA	NA	0.455	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.69938	NA	NA	NA	NA	probable
CYP1A2	NA	NA	NA	NA	2317	-0.7345	6.52287874528034	NA	-6.643856	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.883904	NA	NA	NA	NA	NA	NA	NA	3.186854	1.847903	1.79801	NA	NA	NA	NA	NA	NA	NA	2.844444	1.51176	NA	NA	NA	-1.177008	-0.342831	NA	NA	NA	NA	0.523864921	0	0	0	0.523864921	3	NA	NA	NA	NA	-0.6	NA	0.027027	0	0.35	0.000128659	0.001	2.89366853	6.34038	NA	3.95543	3.28540807222054e-10	5	7358	NA	NA	141.56503	1	0.111908376	0	0	NA	NA	-0.875	NA	0.04	0.999	0.56	4.013337	0.998755328214115	0.808949192841309	4.98	4.98	0.999999918689836	0.072435	0.5469	0.2649	3.03	0.803681	-4.44	0.851	0.777	-0.44	0.98611	0.487112	NA	NA	NA	2.43804	4.20576	NA	NA	NA	most likely
CYP21A2	NA	NA	NA	NA	224	-0.324	5.52287874528034	1.460377	1.292363	-0.389337	1.414421	2.036873	1.091284	1.03272	1.852474	1.331192	1.974036	1.84469	1.493583	1.016834	1.042125	1.253588	1.199714	4.313851	0.77321	0.817614	1.058942	1.25506	-2.161235	1.643843	0.991508	0.930619	0.751933	1.367706	1.146443	1.40535	0.725901	1.474277	1.092386	2.810405	1.129689	1.304439	0.944593	1.945072	2.948177	1.14058	1.975555	1.848616	2.367092	1.281002	0.823171	1.397437	1.230955	1.524553	1.390363	1.792273	NA	0.957427108	0.957427108	0	0	0	2	5	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.96359409	7.1103	NA	NA	0.672306731067129	NA	3405	NA	NA	2760.21963	NA	0.506795704	0	0	NA	NA	NA	0	0	1	NA	3.278542	0.998368547772137	0.122763482555551	4.96	4.96	0.91466281493399	0.152299	0.2812	-0.5037	NA	NA	-4.44	0.646	0.571	-1.06	0.95234	0.525926	NA	NA	NA	NA	NA	NA	NA	NA	probable
CYP27A1	NA	NA	NA	NA	96	-0.3323	17.1549019599857	0.513018	0.558059	-0.46707	-0.4271	-0.42945	-0.543468	0.330643	0.274249	0.839336	1.415915	-0.082523	-0.379826	-0.10983	-1.208284	-0.163558	0.55206	-0.161967	0.768511	-0.144926	0.325818	0.182281	-2.946316	-1.650541	0.311363	-1.05833	0.257582	0.211278	0.108072	0.531692	-1.264756	-0.24137	-0.375365	-0.304301	-0.143381	0.091203	-0.68478	0.172699	0.182789	-1.023923	-0.302509	0.077239	-0.424189	0.285874	0.174949	0.397184	0.181945	-1.184648	1.136296	1.010533	0.066732	0.511870011	0	0.451842443	0	0.511870011	NA	NA	NA	NA	NA	-0.31	NA	0.5	0.0150706	0.00808081	0.00391603	0.006	2.32162457	5.96149	12.4183	8.08081	3.89681875061633e-11	3	33544	NA	NA	269.5604	1	0.146139458	1	2	NA	NA	NA	NA	0.14	0.081	0.705	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.22698	17.4114	1.25768	39	1.92832	possible
CYP2C19	NA	NA	NA	NA	212	0.3776	15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.453106	NA	1.071988	NA	NA	NA	NA	1.185063	-3.172733	-6.643856	NA	NA	NA	NA	NA	NA	0.989182	1.08234	1.0572	NA	0.800651	-6.643856	NA	NA	0.937393	NA	0.075645	0.523343755	0	0	0	0.523343755	3	NA	NA	NA	NA	0.71	177	0	0	0	0	0	3.866916	NA	NA	NA	2.53768601148421e-10	NA	165106	NA	NA	378.83872	1	0.111908376	0	0	NA	NA	142.875	NA	NA	NA	0.923	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.84677	NA	NA	NA	NA	NA	NA	NA	most likely
