Gene	REVEL.max	MetaSVM_rankscore.max	MetaLR_rankscore.max	MCAP.max	wgEncodeBroadHmmHuvecHMM.count	betamax	logpval_gwascatalog	Adipose - Subcutaneous_GTExTPM	Adipose - Visceral (Omentum)_GTExTPM	Adrenal Gland_GTExTPM	Artery - Aorta_GTExTPM	Artery - Coronary_GTExTPM	Artery - Tibial_GTExTPM	Bladder_GTExTPM	Brain - Amygdala_GTExTPM	Brain - Anterior cingulate cortex (BA24)_GTExTPM	Brain - Caudate (basal ganglia)_GTExTPM	Brain - Cerebellar Hemisphere_GTExTPM	Brain - Cerebellum_GTExTPM	Brain - Cortex_GTExTPM	Brain - Frontal Cortex (BA9)_GTExTPM	Brain - Hippocampus_GTExTPM	Brain - Hypothalamus_GTExTPM	Brain - Nucleus accumbens (basal ganglia)_GTExTPM	Brain - Putamen (basal ganglia)_GTExTPM	Brain - Spinal cord (cervical c-1)_GTExTPM	Brain - Substantia nigra_GTExTPM	Breast - Mammary Tissue_GTExTPM	Cells - Cultured fibroblasts_GTExTPM	Cells - EBV-transformed lymphocytes_GTExTPM	Cervix - Ectocervix_GTExTPM	Cervix - Endocervix_GTExTPM	Colon - Sigmoid_GTExTPM	Colon - Transverse_GTExTPM	Esophagus - Gastroesophageal Junction_GTExTPM	Esophagus - Mucosa_GTExTPM	Esophagus - Muscularis_GTExTPM	Fallopian Tube_GTExTPM	Heart - Atrial Appendage_GTExTPM	Heart - Left Ventricle_GTExTPM	Kidney - Cortex_GTExTPM	Kidney - Medulla_GTExTPM	Liver_GTExTPM	Lung_GTExTPM	Minor Salivary Gland_GTExTPM	Muscle - Skeletal_GTExTPM	Nerve - Tibial_GTExTPM	Ovary_GTExTPM	Pancreas_GTExTPM	Pituitary_GTExTPM	Prostate_GTExTPM	Skin - Not Sun Exposed (Suprapubic)_GTExTPM	Skin - Sun Exposed (Lower leg)_GTExTPM	Small Intestine - Terminal Ileum_GTExTPM	Spleen_GTExTPM	Stomach_GTExTPM	Testis_GTExTPM	Thyroid_GTExTPM	Uterus_GTExTPM	Vagina_GTExTPM	Whole Blood_GTExTPM	Adipose_Subcutaneous_GTExFC	Adipose_Visceral_Omentum_GTExFC	Adrenal_Gland_GTExFC	Artery_Aorta_GTExFC	Artery_Coronary_GTExFC	Artery_Tibial_GTExFC	Brain_Amygdala_GTExFC	Brain_Anterior_cingulate_cortex_BA24_GTExFC	Brain_Caudate_basal_ganglia_GTExFC	Brain_Cerebellar_Hemisphere_GTExFC	Brain_Cerebellum_GTExFC	Brain_Cortex_GTExFC	Brain_Frontal_Cortex_BA9_GTExFC	Brain_Hippocampus_GTExFC	Brain_Hypothalamus_GTExFC	Brain_Nucleus_accumbens_basal_ganglia_GTExFC	Brain_Putamen_basal_ganglia_GTExFC	`Brain_Spinal_cord_cervical_c-1`_GTExFC	Brain_Substantia_nigra_GTExFC	Breast_Mammary_Tissue_GTExFC	Cells_Cultured_fibroblasts_GTExFC	`Cells_EBV-transformed_lymphocytes`_GTExFC	Colon_Sigmoid_GTExFC	Colon_Transverse_GTExFC	Esophagus_Gastroesophageal_Junction_GTExFC	Esophagus_Mucosa_GTExFC	Esophagus_Muscularis_GTExFC	Heart_Atrial_Appendage_GTExFC	Heart_Left_Ventricle_GTExFC	Kidney_Cortex_GTExFC	Liver_GTExFC	Lung_GTExFC	Minor_Salivary_Gland_GTExFC	Muscle_Skeletal_GTExFC	Nerve_Tibial_GTExFC	Ovary_GTExFC	Pancreas_GTExFC	Pituitary_GTExFC	Prostate_GTExFC	Skin_Not_Sun_Exposed_Suprapubic_GTExFC	Skin_Sun_Exposed_Lower_leg_GTExFC	Small_Intestine_Terminal_Ileum_GTExFC	Spleen_GTExFC	Stomach_GTExFC	Testis_GTExFC	Thyroid_GTExFC	Uterus_GTExFC	Vagina_GTExFC	Whole_Blood_GTExFC	DeepSEA_Functional_Significance	ExomiserScore	humanscore_Exomiser	mousescore_Exomiser	fishscore_Exomiser	ppiscore_Exomiser	BPmed	SideeffectFreq	Sideeffectseverity	Others	Mechanism	RVIS_Score	Rank	humancellsensitivity	humancellspecificity	mousecellsensitivity	mousecellspecificity	ui_panglaoDB	CpGcount	DNaseCluster_count	EnhancerCount	SDI	H3k4me1_count	SignalValue_H3k4me1_median	H3k4me3_count	SignalValue_H3k4me3_median	H3k27Ac_count	SignalValue_H3k27Ac_median	pLI_ExAC	CNVs_ExAC	Gene_length	MGI_Gene	Ratmodel_Gene	GDI_Score	GTEx_signif_sexbias	HIPred	IPA_BP	IPA_Activity	O_GlcNAc_Score	EMS_Max	PharmGKB_Score	ExAc_constraint_obs_exp	PolyPhen	DANN_score	CADD_RAW	Eigen-raw_coding_rankscore	GenoCanyon_rankscore	M-CAP_rankscore	MetaLR_rankscore	MetaSVM_rankscore	MutationAssessor_rankscore	REVEL_score	fathmm-MKL_coding_score	integrated_fitCons_rankscore	LoFtool	GERP_Rankscore	BPlabel
LEF1-AS1	NA	NA	NA	NA	4	-0.3978	14	0.0450579	0.044967	0.523081	0.0562284	0.0502553	0.0333806	0.111774	0.097068	0.0777044	0.124429	0.0466253	0.056543	0.0946874	0.0833955	0.1202	0.190387	0.0948745	0.113012	0.13128	0.137087	0.108586	0	0.0651366	0.189606	0.294943	0.026273	0.0632279	0.0308368	0.104356	0.0286595	0.273725	0.0201555	0.00969266	0.421121	0.446186	0	0.136755	0.0777706	0	0.596536	0.132414	0.019823	0.0606856	0.214284	0.142663	0.165821	0.129045	0.417444	0.0335098	42.6335	0.555008	0.231581	0.131896	0.189786	-2.631393	0.614537	0.999608	-0.558529	-1.733009	NA	1.874829	-0.858515	-6.643856	NA	2.585973	-6.643856	1.169888	-2.351073	-6.643856	0.740942	1.046473	-6.643856	-6.643856	1.236106	NA	1.200745	NA	-6.643856	NA	-0.956063	NA	NA	NA	-6.643856	NA	-0.389218	2.447514	NA	0.864341	-6.643856	NA	-0.797223	-1.146163	-1.384921	0.391223	1.684026	0.516124	NA	-0.113339	-0.382513	0.585307	2.162011	0.98866	0.18606	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8	46	NA	NA	32	5.42365	32	14.2374	NA	NA	NA	NA	89311	NA	NA	NA	NA	NA	0	0	NA	NA	NA	NA	NA	NA	1.322799	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.164	NA	unknown
LEPREL4	0.051	0.457	0	NA	44	-0.2883	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.057607	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.29	NA	NA	NA	NA	NA	NA	1	15	54	NA	50	8.99718	21	14.4871	20	5.98159	0.0000000437561713844944	3	10657	NA	NA	2791.43776	NA	0.308604419	0	0	NA	NA	NA	0.352271692	NA	NA	0.889332	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.907	NA	unknown
LETM2	NA	NA	NA	NA	655	-0.2721	14.698970004336	0.992955	1.50739	0.329139	1.92509	1.6187	1.54614	1.27455	1.08807	1.43456	1.17764	13.6554	12.8382	1.59008	1.81919	1.01294	1.87249	1.44895	0.935722	1.12821	1.05224	1.04315	2.0846	1.54253	2.00346	2.0665	1.56703	0.841422	1.46864	0.607809	1.48905	2.10461	0.579526	0.304469	0.854383	2.10355	0.114503	1.41289	0.498314	0.111914	1.39332	1.92052	0.672687	2.69947	1.1492	0.594039	0.576459	0.742222	0.778241	0.63912	12.5154	0.852627	1.49855	1.21745	1.09911	0.418778	0.19643	0.587942	0.242992	-0.383316	0.126997	-1.861254	-0.762406	-0.228138	-0.077378	-0.371341	0.243208	-0.377706	0.727626	-0.376343	-0.583249	0.479575	-1.184473	-1.232492	0.384958	0.443481	0.657647	-0.676591	-0.461841	-0.209916	0.468014	0.296833	-0.911156	-0.185996	-0.454942	0.520149	-0.525631	-0.966573	-1.215538	-0.092406	-0.301318	0.205429	-0.143656	0.505365	0.498162	-0.283292	-1.482101	-0.880735	-0.373902	0.01488	0.381554	0.29615	-0.623339	-0.668424	0.0087683	0.500063391	0	0	0	0.500063391	NA	NA	NA	NA	NA	1.08	NA	NA	NA	NA	NA	NA	2	10	5	1.99955205	82	11.0328	34	9.69811	47	5.25504	0.000000000134235674967667	2	23320	NA	NA	110.11008	1	0.167412758	0	0	5.44897155748371	NA	NA	NA	0.289	NA	1.369064	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.977	NA	unknown
LHFPL2	NA	NA	NA	NA	226	0.3279	39	15.8052	15.6783	14.2064	16.9429	19.4084	21.8977	20.4791	3.20466	3.01573	3.82091	1.87461	2.15352	3.01226	3.34134	3.49973	4.09099	4.2073	3.05809	6.2635	4.68783	16.6939	14.0881	15.1769	21.5668	23.8941	17.2172	14.1238	10.2427	2.69585	10.7724	12.0254	6.72691	2.07226	1.19844	2.77964	0.681533	20.6839	20.8044	1.31962	17.1021	22.7911	5.0156	6.03741	13.1407	5.43193	6.33317	16.5826	4.00326	7.08647	10.3334	9.69459	18.459	12.9719	2.17696	-0.349449	0.273904	-0.205296	0.211046	0.620582	-0.143322	-0.393142	0.196585	0.166958	-0.146367	0.418967	0.130193	0.134878	-3.797111	-0.574867	0.523612	0.156006	-0.321888	-0.248078	0.17975	-0.084291	-0.504369	-0.290104	0.406418	-0.361917	-0.19737	0.092865	0.214196	-0.659304	-1.449591	0.961789	-0.219271	0.636638	-0.219903	0.171286	-0.2426	-0.100129	-0.22464	-0.609652	-0.234217	0.420083	0.629845	0.425823	0.495115	-0.0947	0.294741	-0.641453	0.536869	0.421476	0.016685	0	0	0	0	0	NA	NA	NA	NA	NA	-0.07	NA	NA	NA	NA	NA	NA	1	204	3496	2.98968662	677	8.3135	367	6.38635	452	12.9901	0.0150144683952531	5	284806	NA	NA	60.10531	1	0.458951801	0	0	NA	NA	NA	NA	NA	NA	2.544813	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.502	NA	unknown
LIG3	NA	NA	NA	NA	9472	0.4098	24.2218487496164	7.45867	7.36358	8.11517	10.9153	10.0049	11.2102	13.7963	3.28835	3.74276	4.12448	13.9028	14.5314	6.14484	5.36814	3.18266	4.23327	4.65211	3.34768	4.47684	3.41315	10.2672	14.5938	18.0983	17.6989	18.8335	12.2963	8.93418	11.6757	10.7462	12.3262	22.8181	5.02994	3.58616	3.93417	7.32913	4.19488	10.4687	10.0815	6.84445	14.4638	18.5497	5.61454	13.1791	16.8087	13.3602	13.5515	8.95953	12.7003	8.42413	31.7937	15.71	24.8461	14.0505	3.04086	-0.248728	-0.22777	-0.277482	-0.147635	-0.178563	0.276243	-0.161537	-0.285579	-0.281458	-0.334596	-0.349088	-0.278559	-0.265172	-0.300825	-0.307917	-0.273568	-0.272871	-0.245174	-0.287637	-0.226887	0.247969	-0.218667	-0.18656	-0.218023	-0.170743	-0.242431	-0.141638	-0.298629	-0.297221	-0.749675	-0.259226	-0.215069	-0.334283	-0.366086	-0.249288	-0.263857	-0.233683	-0.262033	-0.18633	-0.273318	-0.276758	-0.189771	-0.221967	-0.232748	-0.159295	-0.213691	-0.171795	0.340054	-0.211476	0.11021	0.50023968	0	0	0	0.50023968	NA	NA	NA	NA	NA	-1.39	NA	NA	NA	NA	NA	NA	2	11	32	3.53005197	21	8.51259	6	18.1471	6	17.8237	0.00000283467985577354	0	24570	NA	NA	136.74536	1	0.715312243	0	0	NA	NA	1.875	NA	NA	NA	1.342463	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	unknown
LIMA1	NA	NA	NA	NA	121	0.2647	25	143.18	97.9171	40.0348	81.4728	76.0542	65.1583	67.7746	7.43075	6.51316	7.38906	114.022	101.562	6.43036	6.08722	7.81215	7.47593	6.97927	6.71589	18.5645	9.16896	99.5299	163.13	31.1661	80.2166	76.9339	41.9906	62.5592	45.9012	30.8892	37.3535	72.1215	16.0025	7.21009	22.213	40.0975	5.49994	73.6963	42.9418	9.61058	94.3109	52.0272	12.0759	25.2318	52.0944	41.1621	43.2141	56.4344	29.9918	32.0353	20.0529	44.6824	90.613	63.8951	0.869348	-0.485543	-0.518747	-0.235293	-0.583229	-1.789121	-0.586481	0.374071	0.521084	0.174309	0.569885	0.411508	0.231185	-0.15222	0.498814	0.182662	0.240468	0.136813	-0.107892	1.967975	-0.101719	-0.422167	-0.501343	0.148257	0.183284	0.25075	-0.260846	0.229122	-0.134099	-0.131332	-2.069258	-0.537141	-0.31602	0.231027	-0.410431	-0.218774	0.409425	0.510056	0.574922	-0.300933	0.219529	-0.1141	0.295223	0.347651	-0.167609	-0.100561	-0.177276	0.573004	-0.90833	0.259312	0.032708	0.500037148	0	0	0	0.500037148	NA	NA	NA	NA	NA	-1	NA	0	0.125314	0	0.0685663	0.078	NA	29	90	6.92521859	353	8.69801	93	7.2614	196	11.3442	0.000000128359617495965	2	107758	NA	NA	36.54684	NA	0.489121497	0	0	2.7583732876265	5.2836	NA	NA	NA	NA	1.4119	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.534	NA	unknown
LIMD1	NA	NA	NA	NA	104	-0.3142	12	8.7929	6.39171	3.89751	11.2686	11.3614	13.0542	7.04582	1.47986	1.15239	1.40871	1.36313	1.5297	1.34934	1.2137	1.38248	1.63351	1.23466	1.03756	3.2731	1.71481	7.09911	10.4908	24.7981	8.56742	7.44367	6.88308	7.30583	9.67081	5.32205	7.83358	8.40576	4.13635	4.52378	2.46163	3.98186	6.00196	22.1861	10.912	8.47442	14.9774	6.01614	3.97717	4.26034	8.35898	5.91221	6.29483	8.44468	11.744	6.2764	3.09262	15.8461	10.7412	6.84269	2.44093	0.417813	-0.41303	0.461392	-0.63907	0.441461	-0.438702	0.433964	-0.466762	-0.623729	1.32443	1.460712	-0.469008	-0.517375	0.36262	-0.397364	0.526035	-0.425556	1.118492	0.727428	-0.43756	0.240371	0.484237	-0.472739	-0.409014	-0.53739	-0.234544	-0.453008	-0.488665	-0.309661	-0.300786	0.254824	-0.376076	-0.384536	-0.223839	-0.550085	-0.555116	-0.485107	-0.810711	0.47752	0.303633	-0.342101	0.451447	-0.657133	0.472967	0.311022	-0.555786	-0.668211	-0.525279	0.243555	0.047838	0.506933257	0	0	0	0.506933257	NA	NA	NA	NA	NA	-0.4	NA	NA	NA	NA	NA	NA	6	178	4515	9.85031468	763	9.15772	398	11.1251	680	11.6799	0.127770680853122	5	130944	NA	NA	86.15106	1	0.414402038	0	0	11.2026445581761	NA	NA	NA	0.929	NA	2.188243	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.601	NA	unknown
LIN54	NA	NA	NA	NA	263	-0.3137	30	4.54587	3.37451	2.90558	3.95468	4.08927	4.94023	4.3701	2.49826	3.09025	2.91277	7.26854	6.03017	3.24626	3.79544	2.89313	2.91188	3.19679	2.54929	5.76347	2.93449	3.91646	6.1732	9.59655	5.0196	4.72732	3.59076	3.37073	3.31038	6.94508	3.3582	3.5896	1.61092	1.1666	2.19983	2.17806	2.09383	4.30621	4.01614	2.49205	5.51829	4.2434	1.19199	3.7976	3.64403	4.72169	4.88703	3.54937	3.61052	2.39355	5.71668	5.67927	4.70778	5.46992	2.21724	-0.226325	-0.104657	0.312721	0.203828	-0.586237	-0.077033	-0.222802	0.489345	-0.140897	0.323355	0.16809	0.292297	0.453265	0.134549	0.106125	-0.334128	-0.61813	-0.147667	-0.205633	-0.087857	-0.120409	0.256121	-0.278027	0.419066	0.386633	0.217115	-0.171919	-0.104617	0.168833	-0.473242	0.157483	0.095194	-0.159717	0.126895	0.217791	-0.221487	-0.386749	-0.604575	-0.097283	0.069104	0.054005	-0.167025	0.181724	-0.399275	-0.395149	-0.061894	-0.523283	-0.664446	-0.317287	0.0026005	0.500073372	0	0	0	0.500073372	NA	NA	NA	NA	NA	-0.54	NA	NA	NA	NA	NA	NA	1	23	6	0	130	9.0162	42	38.569	83	6.59742	0.999433598501497	3	102953	NA	NA	49.60061	NA	0.782960892	0	0	39.6806464204342	NA	NA	0.965501355	NA	NA	2.158541	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	unknown
LIN7B	NA	NA	NA	NA	233	0.4183	NA	5.75905	5.05346	6.81049	12.294	11.0975	14.2694	11.4221	23.8126	31.4095	29.5117	32.4552	28.2496	29.803	39.0998	22.0565	33.8482	36.4638	22.509	17.6652	18.595	7.2487	4.48135	1.55648	12.0781	9.56404	10.8627	9.2685	11.1572	11.9794	11.1159	9.10069	11.8926	8.91234	4.86604	4.99722	3.11217	8.72993	10.5895	20.9882	10.4329	9.13934	4.77895	40.3676	16.2916	24.2846	27.9301	8.38555	8.18479	6.0269	25.1089	13.7349	10.5049	13.913	1.78986	0.301379	0.451316	0.253429	0.356508	0.415418	0.342582	0.410144	0.236964	0.64838	0.25516	0.262396	0.188417	0.099634	-0.138653	0.288332	0.428543	0.357031	0.156548	-0.501824	0.677573	0.259128	-1.210961	0.230845	0.36135	0.361606	0.193602	0.426323	0.545437	0.712096	0.680241	0.426684	0.34497	0.250464	0.570246	0.254323	-0.752182	0.299561	0.271583	0.504355	0.23058	0.242786	-0.238781	0.328681	0.584369	0.129791	0.293639	0.364758	-0.69116	-0.174526	NA	0.500038878	0	0	0	0.500038878	NA	NA	NA	NA	NA	-0.12	NA	NA	NA	NA	NA	NA	4	12	26	9.84765397	71	9.43925	61	5.28879	38	8.59558	0.838837249627908	NA	4136	NA	NA	9.42202	NA	0.784873009	0	0	NA	NA	NA	NA	0.714	NA	0.22088	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	unknown
LINC00521	NA	NA	NA	NA	4	0.2647	NA	0	0	0	0.118385	0.00440862	0.0356606	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.11312	0.0181406	0	0	0	0	0	0	0	0.0708851	0.208832	0	0	0.011067	0	0.0110917	0.851195	0	0	0	0.0507949	0	0	0	0.0245657	0.0112834	0	25.9816	0	0	0	0	NA	NA	NA	2.784979	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.271035	NA	NA	NA	NA	NA	3.614218	2.877922	NA	NA	NA	NA	3.021468	NA	NA	NA	4.036804	NA	NA	NA	NA	NA	NA	-0.252564	NA	NA	NA	NA	0.17204	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	32	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	14424	NA	NA	NA	NA	NA	0	0	NA	NA	NA	NA	0.999	NA	1.076214	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.111	NA	unknown
LINC01006	0.047	NA	NA	NA	9	0.3643	42.301029995664	3.99648	2.49874	2.66512	1.04047	1.83041	2.03234	2.04148	2.92947	2.95438	4.22423	4.37504	3.94562	3.27552	3.56151	2.95215	3.56052	4.83254	3.52857	4.66417	2.65793	3.75365	3.97893	5.37578	2.68534	3.12593	3.4712	3.37238	2.71515	2.00016	2.2877	2.13164	2.28847	1.12547	3.22341	3.63622	2.44634	3.8892	2.8549	1.17552	7.88103	3.33989	1.34109	6.70924	4.90532	1.33108	1.65704	2.77815	3.00191	4.02026	14.1581	5.29192	2.57287	2.76299	0.3056	0.225261	-0.38472	-0.280856	0.690007	0.381728	0.343375	-0.342348	-0.508085	-0.406839	-0.760493	-0.753575	-0.562864	-0.608674	-0.398066	-0.438039	-0.528004	-0.293232	1.021532	0.190731	-0.234681	-0.555946	-0.874686	0.239171	-0.304486	-0.882557	-0.876375	0.582423	-0.191122	-0.350858	-0.830895	-0.563415	-0.177298	-0.629457	-0.661523	-0.188237	-6.643856	-0.484554	-0.473207	-0.468956	-0.566154	-0.452347	-0.541974	-0.548525	-0.37769	-0.335916	-0.468813	0.69709	-0.608684	-0.59111	0.080889	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	182	120	NA	189	5.17019	146	12.5449	65	3.49857	NA	NA	168396	NA	NA	NA	1	NA	0	0	NA	NA	NA	NA	NA	NA	2.41968	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	unknown
LLPH	NA	NA	NA	NA	28	0.4864	8.09691001300806	6.1415	6.45286	9.81589	6.65635	7.26701	6.73492	6.68252	2.6728	2.82588	2.74899	4.34468	3.74984	2.94183	3.50431	2.58506	3.06369	2.86774	2.49047	5.05156	3.55037	6.0479	13.0241	10.3338	5.98866	6.31506	6.40172	5.31686	6.15503	5.36571	6.42259	7.16413	3.16153	2.74187	3.15666	4.77821	2.66269	5.83275	4.5579	3.88178	7.61703	7.28236	2.06084	4.29702	5.91264	4.60256	4.51766	5.82109	7.05959	4.50442	8.8837	6.10637	6.78786	5.74675	2.27693	-0.13096	-0.063847	0.097633	-0.148073	0.120688	-0.109575	0.285252	0.160902	-0.243269	0.163949	0.253371	0.203892	0.068386	-0.544628	-0.120443	0.127222	0.108861	0.538688	0.240187	0.092025	-0.015959	0.078807	0.063052	0.07363	0.205598	-0.093035	0.059247	0.096227	0.124222	-0.062611	0.165112	0.082045	-0.630195	-0.183589	0.073813	-0.311458	0.233134	0.224037	0.094242	-0.279775	0.09325	-0.272565	0.098979	0.054163	0.148584	0.064983	0.339964	-0.562607	-0.06536	NA	0.500025578	0	0	0	0.500025578	NA	NA	NA	NA	NA	0.24	NA	NA	NA	NA	NA	NA	NA	6	4	1.79628883	14	5.88926	14	47.7313	21	16.5546	0.341447375249415	13	7706	NA	NA	436.00348	1	0.205863535	0	0	2.7583732876265	NA	NA	NA	NA	NA	1.376988	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.566	NA	unknown
LMAN1L	NA	NA	NA	NA	1114	0.5311	11	0.0336551	0.0314229	3.60166	0.0507279	0.0587002	0.0307083	0.146339	0.126	0.20876	0.105366	39.2922	61.7409	0.329494	0.194681	0.155004	0.0813865	0.0750049	0.101015	0.598278	0.133786	0.079342	0.0195484	0.0536854	0.303431	0.189943	0.250717	0.163731	0.0927917	0.45404	0.0637146	0.0947005	45.8198	1.90676	0.0193923	0.0248764	0.0255573	0.113577	16.783	0.021385	0.0500331	0.078235	0.0234208	1.41921	107.988	0.204379	0.241909	0.178141	101.675	0.117455	6.32899	0.0462728	0.0548669	0.26452	0.0715398	NA	NA	-1.672335	NA	-1.320084	NA	1.432609	-6.643856	-2.261381	-1.429845	0.512998	1.543441	1.269894	-1.368918	2.773537	0.831065	-0.584086	0.972677	-6.643856	3.282419	NA	-6.643856	2.12086	1.206263	-0.696469	1.182441	1.937122	0.463401	1.614223	NA	NA	2.487311	-6.643856	NA	NA	-6.643856	NA	-1.974939	0.382353	0.465376	0.250401	-6.643856	0.215194	0.80365	0.110235	NA	NA	-1.280816	1.497572	0.044781	0	0	0	0	0	NA	NA	NA	NA	NA	0.93	NA	NA	NA	NA	NA	NA	NA	16	11	5.60237773	74	12.1331	NA	NA	NA	NA	0.0000000018808952583686	2	13042	NA	NA	2073.79173	1	0.123297259	0	0	NA	NA	NA	0.857861212	NA	NA	0.539145	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.571	NA	unknown
LMO1	NA	NA	NA	NA	14	0.1963	20.5228787452803	0.150743	0.115719	0.0532258	0.0739675	0.0363104	0.0533236	0.16214	1.38354	1.47354	1.10129	0.59512	0.619906	1.70815	2.03535	1.35627	3.39327	1.50596	0.905816	1.02843	2.0058	0.114851	0	0	0.138104	0.0427407	0.103481	0.124887	0.254861	0.0748691	0.129055	0.193067	0.121331	0.32857	0.301012	3.26112	0	0.0345563	0.0952014	4.8296	0.150759	0.121634	0.326453	2.9805	0.112085	8.5622	6.13296	0.0286824	0.364814	0.0728025	4.31311	0.191456	0.128148	0.0939952	0	-0.877113	-5.831386	1.558695	3.965189	NA	NA	1.92617	0.382157	-0.833585	0.58163	0.616835	0.644328	0.761687	-1.166015	1.532876	3.848866	1.350184	0.720751	-6.643856	-6.643856	NA	NA	0.563119	1.001035	-1.831108	0.943469	-0.731319	-1.525932	-0.838562	-6.643856	NA	NA	0.830916	0.6787	-1.889324	0.905424	1.11735	-0.463709	1.283406	0.85472	0.634185	NA	-6.643856	1.026011	0.191755	0.529949	-2.794057	-4.686665	NA	0.085694	0.508052843	0	0	0	0.508052843	NA	NA	NA	NA	NA	-0.16	NA	NA	NA	NA	NA	NA	3	106	32	1.61745951	158	6.84378	93	7.95903	NA	NA	0.477078993256257	2	44412	NA	NA	9.59633	NA	0.557658136	0	0	NA	NA	NA	NA	NA	NA	2.581479	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	unknown
LOH12CR1	NA	NA	NA	NA	27	1.2559	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.12865	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.24	NA	NA	NA	NA	NA	NA	2	85	1845	NA	340	6.26783	168	12.5336	255	7.43836	0.021632084531083	4	109827	NA	NA	601.12845	NA	0.444217145	0	0	NA	NA	NA	NA	NA	NA	2.141809	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.551	NA	unknown
LPXN	NA	NA	NA	NA	61	0.8148	12.301029995664	15.1667	10.9783	9.77409	17.7302	15.2672	13.2144	18.5712	5.19111	4.76488	5.62667	8.29368	6.75774	4.47779	5.43328	5.26856	6.89936	5.73883	4.82415	12.6769	7.61473	12.2993	49.5517	242.165	15.0886	16.0426	9.58782	12.55	8.97126	4.75865	7.98926	15.0272	3.74209	2.25571	6.5745	10.8832	6.54522	31.9391	14.2615	2.12412	17.3099	17.0431	4.77822	12.0852	13.9569	6.74622	8.53727	24.2088	61.0237	8.46247	22.0016	18.9502	14.1642	10.1753	39.1107	-0.126774	0.146175	0.483345	-0.59333	0.719845	0.288185	0.239413	-0.196067	-0.399932	1.008728	-0.136459	0.939348	0.846451	0.421153	0.851608	0.488848	-0.280006	0.434933	0.287804	0.22998	0.150571	-1.363127	-0.308827	-0.154145	0.54123	-0.153548	0.319054	-0.106076	0.353741	0.22763	-0.403397	-0.50424	0.648353	0.435764	-0.228691	0.41853	0.389088	0.573723	-0.29646	-0.458346	-0.209346	-0.641365	-0.269346	0.439549	-0.075056	0.290504	0.195552	-0.189683	-0.492246	0.16251	0.500150416	0	0	0	0.500150416	NA	NA	NA	NA	NA	0.02	NA	NA	NA	NA	NA	NA	1	13	28	9.75693866	25	10.7392	46	8.04989	16	40.0726	0.0172004433087515	0	51349	NA	NA	220.53951	1	0.228539303	0	0	NA	NA	NA	NA	NA	NA	1.177225	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	unknown
